id,product_name,category,price,quantity,created_date,in_stock,rating
1,Laptop Pro 15 inch,Electronics,1299.99,45,2024-01-15,true,4.5
2,Wireless Mouse,Electronics,29.99,150,2024-01-20,true,4.2
3,Office Chair,Furniture,349.00,28,2024-02-01,true,4.7
4,USB-C Hub,Electronics,79.99,0,2024-02-10,false,4.0
5,Standing Desk,Furniture,599.00,12,2024-02-15,true,4.8
6,Mechanical Keyboard,Electronics,149.99,67,2024-03-01,true,4.6
7,Monitor 27 inch 4K,Electronics,449.00,23,2024-03-10,true,4.4
8,Desk Lamp LED,Office Supplies,45.99,89,2024-03-15,true,4.1
9,Webcam HD,Electronics,89.99,0,2024-03-20,false,3.9
10,Notebook Set,Office Supplies,12.99,200,2024-04-01,true,4.3
